osm_id,osm_type,nombre,direccion,ciudad,telefono,whatsapp,website,horario,marca,latitud,longitud
node/6008398118,node,LOS MINA,,,,,,,,18.5031098,-69.8644645
node/6008398119,node,FARMAVITAL,,,,,,,,18.501976,-69.8677605
node/6008398120,node,CHABELA,,,,,,,,18.5069994,-69.8696286
node/6008398121,node,Rowifarma,,,,,,,,18.5097006,-69.8601357
node/6008398123,node,TURINA,,,,,,,,18.4847696,-69.8270276
node/6008398124,node,palmar encantado,,,,,,,,18.5440312,-69.8655883
node/6008398125,node,monterrey,,,,,,,,18.5427923,-69.879251
node/6008398126,node,maria auxiliadora,,,,,,,,18.5407507,-69.8647335
node/6008398127,node,Farmacia YSA,"Calle E, Santo Domingo este",Santo Domingo este,+18092457271,,,Lu-Vi 08:00-21:00; Do 0800-14:00,,18.4940318,-69.8151961
node/6008398129,node,rosyel,,,,,,,,18.4974103,-69.7937891
node/6008398130,node,Farmacia Filadelfia,,,,,,,,18.4980122,-69.7868021
node/6008398131,node,yunkiel,,,,,,,,18.4907559,-69.8337648
node/6008398132,node,mayel,,,,,,,,18.4904745,-69.841133
node/6008398133,node,rusbert-yu,,,,,,,,18.5042332,-69.8501936
node/6008398138,node,NICOMAR,,,,,,,,18.5166041,-69.8512295
node/6008398139,node,EUROPA,,,,,,,,18.5205674,-69.8447354
node/6008398140,node,karen-paola,,,,,,,,18.5075103,-69.8485858
node/6008398141,node,KEYLA,,,,,,,,18.5044236,-69.8462952
node/6008398386,node,JAFREISY,,,,,,,,18.5380766,-69.8132946
node/6008398387,node,SANTO DOMINGO,,,,,,,,18.8063922,-71.2299345
node/6008398388,node,CENTRO,,,,,,,,18.8075379,-71.2271227
node/6008398389,node,CATANO,,,,,,,,18.4522708,-70.7358699
node/6008398390,node,ANA ISABEL,,,,,,,,18.2055332,-71.094894
node/6008398391,node,SAMERY,,,,,,,,18.5662668,-69.9090478
node/6008398589,node,MIRANDA,,,,,,,,18.8086832,-71.2313219
node/6008398590,node,MAYCORT,,,,,,,,18.8192114,-71.2340252
node/6008398592,node,SANTOME,,,,,,,,18.8063288,-71.2296659
node/6008398593,node,SUPER FARMACIA SILDIA,,,,,,,,18.8023351,-71.2229755
node/6008398594,node,MARIA VIRGEN MELO,,,,,,,,18.8123339,-71.221103
node/6008398595,node,ADRIANA,,,,,,,,18.4566947,-70.7261148
node/6008398596,node,MINERVA,,,,,,,,18.4535475,-70.7320108
node/6008398597,node,DILANIA,,,,,,,,18.4525887,-70.734213
node/6008398598,node,SAN MARCOS,,,,,,,,18.451197,-70.7322453
node/6008398599,node,MERCEDES,,,,,,,,18.4519421,-70.7282798
node/6008398600,node,MARISOL,,,,,,,,18.4533145,-70.7496945
node/6008398601,node,ROSA,,,,,,,,18.452984,-70.7379251
